***************** Episode: 00 | Action: [0.85322684 0.08043711 0.05577299], Reward: 6.0538461538461545
***************** Episode: 210 | Action: [0.79000217 0.05836445 0.04839735], Reward: 5.7479532163742695
99 | Action: [-0.8392491   0.11038484  0.00160591], Reward: 30.93567251461986
198 | Action: [0.3409722  0.35242516 0.00483608], Reward: 97.05906432748552
297 | Action: [-0.17558911  0.22963737  0.0077868 ], Reward: 171.95438596491292
396 | Action: [0.10789113 0.25588292 0.00272066], Reward: 249.77368421052745
495 | Action: [0.43579757 0.09430113 0.01062944], Reward: 310.0491228070172
594 | Action: [-0.35462314  0.14255413  0.00285093], Reward: 332.31286549707374
693 | Action: [-0.33360216  0.16206227  0.00360576], Reward: 322.4128654970715
792 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 312.51286549706924
891 | Action: [-0.35462314  0.14255413  0.00285093], Reward: 302.612865497067
990 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 292.71286549706474
1089 | Action: [-0.33198097  0.16012943  0.00357599], Reward: 282.8128654970625
1188 | Action: [-0.35561386  0.14820467  0.0039192 ], Reward: 272.91286549706024
Episode took: 39.1951858997345 seconds
***************** Episode: 220 | Action: [0.8886179  0.09420132 0.06148012], Reward: 7.307407407407408
99 | Action: [-0.98241645  0.15082875  0.00112294], Reward: 41.851851851851784
198 | Action: [-0.05309572  0.43347624  0.01182764], Reward: 124.54444444444486
297 | Action: [-0.1343621   0.16149387  0.00829409], Reward: 192.42222222222304
396 | Action: [-0.21290752  0.2576867   0.00758047], Reward: 186.2259259259273
495 | Action: [-0.23441598  0.18201248  0.00427559], Reward: 176.32592592592786
594 | Action: [-0.20668134  0.14016593  0.00957053], Reward: 170.12962962963212
693 | Action: [-0.8314319   0.13137586  0.00373012], Reward: 252.82222222222507
792 | Action: [0.78461593 0.19144695 0.00960526], Reward: 368.8481481481486
891 | Action: [-0.14404444  0.16789497  0.00702073], Reward: 458.9481481481461
990 | Action: [0.50414616 0.11572751 0.00486959], Reward: 467.56666666666234
1089 | Action: [-0.19400257  0.07898615  0.005559  ], Reward: 457.6666666666601
1188 | Action: [0.21139607 0.40000245 0.0139856 ], Reward: 477.3962962962874
Episode took: 35.68110203742981 seconds
***************** Episode: 230 | Action: [0.79305065 0.06694303 0.04417343], Reward: 6.435947712418301
99 | Action: [-0.2606854   0.13157274  0.00110021], Reward: 35.751633986928056
198 | Action: [0.2454891  0.22633868 0.01263251], Reward: 114.08692810457549
297 | Action: [0.02850606 0.20775157 0.00915151], Reward: 205.4941176470598
396 | Action: [-0.8773556   0.14164177  0.00311731], Reward: 267.4895424836609
495 | Action: [-0.02246455  0.22190104  0.00336294], Reward: 270.66143790849526
594 | Action: [-0.6625774   0.13424389  0.00414799], Reward: 260.761437908493
693 | Action: [0.07730357 0.22023231 0.00700385], Reward: 290.0771241830006
792 | Action: [0.3720994  0.12941074 0.00589536], Reward: 342.26862745097225
891 | Action: [-0.67388636  0.09527749  0.00263878], Reward: 332.36862745097
990 | Action: [-0.75241673  0.16793676  0.00180249], Reward: 322.46862745096774
1089 | Action: [0.32916588 0.11547839 0.01119658], Reward: 345.248366013057
1188 | Action: [-0.32533327  0.18422161  0.02184639], Reward: 394.1718954248195
Episode took: 37.446343183517456 seconds
***************** Episode: 240 | Action: [0.83331937 0.07339317 0.05173241], Reward: 7.36268656716418
99 | Action: [-0.19396332  0.1449546   0.00090949], Reward: 42.2388059701492
198 | Action: [-0.92976373  0.10934106  0.00154616], Reward: 129.35373134328398
297 | Action: [-0.5439979   0.13526005  0.00323358], Reward: 138.11044776119493
396 | Action: [-0.00370367  0.21106578  0.00437995], Reward: 128.2104477611955
495 | Action: [0.05677468 0.43507645 0.00989619], Reward: 118.31044776119606
594 | Action: [-0.92660195  0.12246874  0.00211347], Reward: 149.45522388059953
693 | Action: [0.46279025 0.4966684  0.02059131], Reward: 236.57014925373412
792 | Action: [0.6562265  0.1201892  0.00704127], Reward: 319.9537313432851
891 | Action: [-0.04744434  0.20354246  0.00895456], Reward: 448.1134328358197
990 | Action: [-0.43668705  0.06902627  0.00582785], Reward: 524.0343283582052
1089 | Action: [0.2163024  0.12212847 0.00515228], Reward: 514.134328358203
1188 | Action: [-0.5022652   0.14011484  0.00136078], Reward: 504.23432835820074
Episode took: 36.05028510093689 seconds
***************** Episode: 250 | Action: [0.87186646 0.09721965 0.07533442], Reward: 6.5445182724252495
99 | Action: [-0.78489226  0.11972412  0.00217619], Reward: 36.511627906976706
198 | Action: [-0.9358227   0.14404741  0.00362671], Reward: 103.02358803986735
297 | Action: [-0.54687905  0.1312013   0.00538919], Reward: 113.05714285714365
